Nom,Alquiler,Extra,Carrer,Direccion,Barri,Districte,Població,Província,Descripcion,Latitud,Longitud
Alquiler de piso en El Mercat,1.800 €/me,    100 m²   3 hab.   6ª planta exterior,   ,    El Mercat     Ciutat Vella    ,El Mercat   , Ciutat Vella   ,Valencia,València,"Magnifica vivienda 6ª planta exterior con mucha luz, a espaldas del Ayuntamiento, con reforma integral a estrenar, y todo amueblado con excelentes calidades superficie de 100 m2, 3 habitaciones con armarios empotrados y habitación principal con baño incorporado, cocina equipada, marmol blanco con...",39.4735345,-0.3789552
Alquiler de ático en Roger de Flor,950 €/m  ,97 m²   2 hab.   5ª planta exterior,  Roger de Flor  ,  Roger de Flor   El Pilar     Ciutat Vella    ,El Pilar   , Ciutat Vella   ,Valencia,València,"En pleno centro de Valencia en un barrio histórico como es el de El Pilar, precioso ático en alquiler con reforma de diseño totalmente AMUEBLADO Y EQUIPADO, sin apenas pasillo, muy espacioso y luminoso, en edificio con ascensor del año 1951 Dispone de una amplia terraza de 45 m2 con dos orientac...",39.4715742,-0.3813107
Alquiler de piso en Nou Moles,700 €/m  ,90 m²   3 hab.   3ª planta exterior,   ,    Nou Moles     L'Olivereta    ,Nou Moles   , L'Olivereta   ,Valencia,València,"Vivienda reformada, lista para habitar, equipada y amueblada. Instalaciones de luz y agua cambiadas. superficie de 90 m2. Se distribuye en 3 habitaciones (antes reforma 4 habitaciones), salón comedor con acceso a balcón, cocina semi nueva, con galería independiente cerrada, baño completo con bañe...",39.4715248,-0.3995606
Alquiler de piso en Aiora,750 €/m  ,152 m²   4 hab.   4ª planta exterior,   ,    Aiora     Camins al Grau    ,Aiora   , Camins al Grau   ,Valencia,València,"Piso de 4 habitaciones, 2 baños completo, cocina totalmente reformada, amueblado, salón comedor amplio, 2 balcones, EXTERIOR, MUY LUMINOSO, calefacción, muy buena zona, servicios (supermercados, colegios, centro de salud, gimnasios, jardines, gran variedad de tiendas, etc.. . ), a poca distancia...",39.4665282,-0.3430688
Alquiler de piso en ministro luis mallans,800 €/m  ,105 m²   3 hab.   1ª planta exterior,  ministro luis mallans  ,  ministro luis mallans   Morvedre     La Saïdia    ,Morvedre   , La Saïdia   ,Valencia,València,"Piso situado en Valencia en uno de los barrios mas consolidados y valorados de la ciudad, que cuenta con la siguiente distribución: Salón comedor, cocina equipada, Galería, 3 habitaciones, 2 baños y 2 terrazas, parcialmente amueblado Se alquila para todo el año, 1ª Planta. Ascensor. Garaje. Tras...",39.4864102,-0.3716347
Alquiler de piso en Angel Villena,600 €/m  ,120 m²   3 hab.   2ª planta exterior,  Angel Villena  ,  Angel Villena   Na Rovella     Quatre Carreres    ,Na Rovella   , Quatre Carreres   ,Valencia,València,"Piso totalmente reformado y SEMIAMUEBLADO situado cerca del Pabellón de la Fuente de San Luis, rodeado de todo tipo de servicios (comercios, farmacia, polideportivo, etc) y situado muy próximo a la Ciudad de las Artes y las Ciencias y al Centro Comercial El Saler Todo exterior y muy luminoso, de...",39.4481831,-0.3676515
Alquiler de ático en Barraques Figuero,1.100 €/me,    96 m²   2 hab.   21ª planta exterior,  Barraques Figuero  ,  Barraques Figuero   La Punta     Quatre Carreres    ,La Punta   , Quatre Carreres   ,Valencia,València,"DISPONIBLE A PARTIR DEL DIA 8 DE ABRIL. Estupendo ático en residencial con preciosas vistas al mar, orientado al sur y muy próximo a la Ciudad de las Artes y las Ciencias. El residencial dispone de piscina de agua salada, sauna, paddel, squash, gimnasio, zonas de juego infantil y conserjería 24...",39.4501841,-0.3385094
Alquiler de piso en Aiora,600 €/m  ,115 m²   4 hab.   3ª planta exterior,   ,    Aiora     Camins al Grau    ,Aiora   , Camins al Grau   ,Valencia,València,"Piso de 4 habitaciones, ( 2 doble y 2 individuales ) 1 baño, 1 aseo, cocina, salon comedor, 2 balcones, exterior, muy luminoso, zona con servicios, totalmente reformado, a pocos metros de parada de metro y parada de autobuses, a 10 minutos andando de las universidades. Piso de 4 habitaciones, (...",39.4665282,-0.3430688
Alquiler de piso en El Mercat,1.650 €/me,    125 m²   3 hab.   6ª planta exterior,   ,    El Mercat     Ciutat Vella    ,El Mercat   , Ciutat Vella   ,Valencia,València,"Esta espectacular vivienda, en inmejorable ubicación, en pleno centro de Valencia, ha sido reformada recientemente con materiales de primera y amueblada con muebles de calidad. La propiedad es muy espaciosa, todo el suelo es de parquet y dispone de tres amplios dormitorios, cocina equipada con t...",39.4735345,-0.3789552
Alquiler de piso en El Pla del Remei,1.400 €/me,    107 m²   3 hab.   6ª planta exterior,   ,    El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,"¡En pleno Centro, junto a la c/ Colón! Pisazo con vistas espectaculares a preciosa zona ajardinada, con una luz maravillosa y con reforma preciosa. Gran salón-comedor, de origen 4 habitaciones (actualmente 3), 2 baños con reforma de diseño (1 en suite enorme con bañera), armarios empotrados en to...",39.4690375,-0.3689508
Alquiler de piso en El Pla del Remei,1.700 €/me,    181 m²   6 hab.   3ª planta exterior,   ,    El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,"Amplia propiedad, ideal tanto para destinarla a vivienda como para despacho, con aire acondicionado por conductos y radiadores por gas natural, parcialmente amueblada, con posibilidad de reformar o redistribuir espacios. Actualmente dispone de seis dormitorios o despachos, además de hall de entra...",39.4690375,-0.3689508
Alquiler de piso en calle del Doctor Josep Juan Dómine,700 €/m  ,111 m²   3 hab.   6ª planta exterior, Carrer del Doctor Josep Juan Dómine  , Carrer del Doctor Josep Juan Dómine   El Grau     Poblats Marítims    ,El Grau   , Poblats Marítims   ,Valencia,València,"Despierta cada día con vistas al mar, desde dos balcones podrás disfrutar de las preciosas vistas al puerto de Valencia, frente el edificio del reloj. Orientado al este se encuentra esta vivienda con tres dormitorios (uno sencillo y dos dobles) más una habitación con lavadora para poder utilizar...",39.4615757,-0.3318077
Alquiler de piso en Serrería,720 €/m  ,90 m²   3 hab.   1ª planta interior,  Serrería  ,  Serrería   L'Illa Perduda     Algirós    ,L'Illa Perduda   , Algirós   ,Valencia,València,"Se alquila vivienda con reforma reciente, totalmente amueblada (excepto sofá) muebles y electrodomésticos prácticamente nuevos con un año aproximado de uso. La vivienda de 90 metros construidos se distribuye en tres habitaciones con armarios, bonito cuarto de baño con detalles de piedra en pared...",39.4675742,-0.335099
"Alquiler de piso en calle de la reina violant, 2",840 €/m  ,85 m²   2 hab.   1ª planta," Carrer de la reina violant, 2  "," Carrer de la reina violant, 2   Sant Pau     Campanar    ",Sant Pau   , Campanar   ,Valencia,València,"VIVIENDA DUPLEX DE OBRA NUEVA EN RESIDENCIAL, no amueblado se encuentra en Calle Reina Violante, 2 de Valencia, situado en el distrito de CAMPANAR, en la planta 1ª. Construido en el año 2008, que tiene 85 m2 de los cuales 69 m2 son útiles y dispone de 2 habitaciones y 2 baños. Dos ascensor y disp...",39.484171,-0.4007001
Alquiler de piso en Gran Vía,2.000 €/me,    251 m²   5 hab.   5ª planta exterior,   ,    Gran Vía     L'Eixample    ,Gran Vía   , L'Eixample   ,Valencia,València,"Magnífica vivienda de diseño ubicada en pleno centro de Valencia junto a Gran Vía Marqués del Túria y a 2 minutos del mercado de Colón. Quinta planta con ascensor. El piso se encuentra totalmente reformado y en buen estado, sin muebles pero con electrodomésticos. Cuenta con 251 m2 construidos,...",39.4658115,-0.3660088
Alquiler de piso en Benimaclet,850 €/m  ,132 m²   3 hab.   5ª planta exterior,   ,    Benimaclet     Benimaclet    ,Benimaclet   , Benimaclet   ,Valencia,València,"Bonito piso en una de las mejores zonas de Valencia, prácticamente al lado de las principales universidades de la ciudad y muy cerca de la Avenida Blasco Ibáñez. La vivienda cuenta con tres habitaciones con armarios empotrados y dos baños completos, cocina totalmente equipada, un amplio salón y u...",39.4871955,-0.3548312
"Alquiler de piso en calle Samuel Ros, 49",1.500 €/me,    147 m²   4 hab.   7ª planta exterior," Carrer Samuel Ros, 49  "," Carrer Samuel Ros, 49   Penya-Roja     Camins al Grau    ",Penya-Roja   , Camins al Grau   ,Valencia,València,"Particular. se alquila fantástico piso con plaza garaje. alto standing. portero, zona infantil, piscina. Terraza de 18m. Cocina de 16m. A 2min del Corte Ingles. Superficie 147m2. , todo exterior, 4 habitaciones, 2 baños (1 en suite), 3 armarios empotrados, colchones viscoelasticos, 2 televisores,...",39.4586985,-0.3473347
"Alquiler de piso en calle Mosen Fenollar, 96",900 €/m  ,130 m²   4 hab.   2ª planta exterior," Carrer Mosen Fenollar, 96  "," Carrer Mosen Fenollar, 96   Patraix     Patraix    ",Patraix   , Patraix   ,Valencia,València,"DUEÑO ALQUILA en calle Mosen Fenollar. Abstenerse inmobiliarias y terceros. AMUEBLADO. ASCENSOR. Piso con salón amplio, ventanas tipo Balcon, con persianas, toldos, todo nuevo. Pisos de mármol. Armarios empotrados en todos los ambientes y uno doble en el recibidor. A/a frío/ calor en todos los am...",39.46192720000001,-0.3898735
Alquiler de piso en Russafa,2.500 €/me,    316 m²   4 hab.   2ª planta exterior,   ,    Russafa     L'Eixample    ,Russafa   , L'Eixample   ,Valencia,València,"¿Te gustaría vivir en pleno centro de Valencia? Al lado de todos los servicios, colegios y transporte público. Disfruta de todas las ventajas de vivir en la zona centro en una magnífica vivienda con excelente distribución. 316m2 repartidos en 4 habitaciones, entre ellas 2 suite con baño incorpora...",39.4612576,-0.3736584
Alquiler de chalet adosado en Playa de la Malvarrosa,3.000 €/me,    264 m²   4 hab.,   ,    Playa de la Malvarrosa     Poblats Marítims    ,Playa de la Malvarrosa   , Poblats Marítims   ,Valencia,València,"Magnífica casa de lujo frente al mar ubicada en la mejor zona de la playa de la Malvarrosa, la vivienda está divida en tres plantas, accedemos a ella por una terraza de unos 60 m2 y entramos en la primera planta que se divide en amplio salón comedor con chimenea, aseo de cortesía, cocina office c...",39.47726,-0.3233746
Alquiler de piso en Clariano,750 €/m  ,110 m²   2 hab.   11ª planta exterior,  Clariano  ,  Clariano   La Carrasca     Algirós    ,La Carrasca   , Algirós   ,Valencia,València,"PRECIOSA VIVIENDA AMUEBLADA EN ALGIRÓS TODA EXTERIOR Se alquila estupenda vivienda de unos 100 m2 útiles de dos dormitorios con armarios empotrados, antes eran tres habitaciones hasta que dos se unieron para hacer una. Salón comedor, amplio balcón con espacio para mesita y dos sillas, cocina inde...",39.478753,-0.3513045
Alquiler de piso en Arrancapins,750 €/m  ,82 m²   2 hab.   1ª planta exterior,   ,    Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Este piso recientemente reformado busca inquilinos! Si deseas vivir de alquiler a un paso del centro y en una vivienda a estrenar, no lo dudes! Llama hoy para concertar una visita! La vivienda se compone de un amplio espacio abierto con fusión de salón, comedor y cocina de barra abierta, con ele...",39.4638077,-0.38543
Alquiler de piso en calle de la Goleta,750 €/m  ,108 m²   3 hab.   1ª planta exterior, Carrer de la Goleta    La Saidia   , Carrer de la Goleta    La Saidia    Marxalenes     La Saïdia    ,Marxalenes   , La Saïdia   ,Valencia,València,"Trabajadores! Amplio piso en Residencial privado con Piscina, Zona Infantil, Zonas Comunes, Deportivas y Garaje. Si quieres disfrutar de tu alquiler al llegar a casa, esta es tu vivienda! Piso de 3 dormitorios, 2 dobles y 1 individual, todos amueblados con camas, armarios, mesillas, etc. 2 baños...",39.4884482,-0.3877172
Alquiler de piso en serreria,720 €/m  ,95 m²   3 hab.   1ª planta exterior,  serreria    EL GRAU   ,  serreria    EL GRAU    L'Illa Perduda     Algirós    ,L'Illa Perduda   , Algirós   ,Valencia,València,"! CON UNA EXCELENTE UBICACIÓN! CON REFORMA INTEGRAL Y CALIDADES! . Esta estupenda vivienda se encuentra en la Av. Serrería, a pocos pasos de la estación del Metro y de la estación de tren cercanías Cabañal. Cuenta con tres habitaciones, todas con armario empotrados, la principal con salida a sole...",39.4655703,-0.3356099
Alquiler de piso en jose benlliure,1.100 €/me,    90 m²   2 hab.   Bajo exterior,  jose benlliure  ,  jose benlliure   El Cabanyal-El Canyamelar     Poblats Marítims    ,El Cabanyal-El Canyamelar   , Poblats Marítims   ,Valencia,València,"Bajo vivienda en finca de principios de siglo XX con fachada protegida, en calle tranquila, en medio del emblemático barrio del Cabanyal-Canyamelar. La vivienda tiene una reforma integral del año 2017, con suelos de mosaico hidraulico, calefacción por radiadores en todas las estancias, ventilador...",39.4691315,-0.3303109
Alquiler de piso en padre tomas de montañana,550 €/m  ,50 m²   1 hab.   4ª planta exterior,  padre tomas de montañana  ,  padre tomas de montañana   Camí Fondo     Camins al Grau    ,Camí Fondo   , Camins al Grau   ,Valencia,València,"SE ALQUILA VIVIENDA CON PLAZA DE GARAJE incluida en el precio. La vivienda se encuentra ubicada junto a la Avda del Puerto y el Paseo de la Alameda, a cinco minutos del cauce del río y de la Ciudad de las Artes y las Ciencias, muy bien comunicada en EMT, Todos los servicios a pocos metros, muy ce...",39.463728,-0.3519058
Alquiler de piso en Cirilo Amoros,1.500 €/me,    135 m²   3 hab.   6ª planta exterior,  Cirilo Amoros  ,  Cirilo Amoros   El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,"Vivienda amueblada en Calle Cirilo Amoros con techos abuhardillados y muy luminosa! La vivienda se encuentra reformada, dispone de salón comedor, cocina con office, tres habitaciones (habitación principal muy amplia con vestidor y baño, habitación doble amplia con litera para niños en forma de L...",39.4679934,-0.369887
Alquiler de piso en El Pla del Remei,1.350 €/me,    210 m²   4 hab.   1ª planta exterior,   ,    El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,"La vivienda se encuentra ubicada en uno de los barrios más exclusivos de Valencia, en pleno centro y próxima al mercado de Colón, una de las zonas más prestigiosas de la ciudad. La propiedad de 270 m² se distribuye en un amplio salón comedor adornado con grandes ventanales aportando una fascinan...",39.4690375,-0.3689508
Alquiler de piso en calle d'Abén al Abbar,800 €/m  ,111 m²   3 hab.   6ª planta interior, Carrer d'Abén al Abbar  , Carrer d'Abén al Abbar   Albors     Camins al Grau    ,Albors   , Camins al Grau   ,Valencia,València,Alquiler de piso muy bien cuidado y con reforma reciente ideal para familias! La vivienda consta de 111 metros cuadrados distribuidos en 3 habitaciones. Amplio salón-comedor con mobiliario moderno. Cocina independiente tipo office con salida a una galería. La cocina dispone de toda clase de ele...,39.4683442,-0.3521021
Alquiler de piso en calle de Martí l'Humà,700 €/m  ,95 m²   3 hab.   5ª planta exterior, Carrer de Martí l'Humà  , Carrer de Martí l'Humà   La Petxina     Extramurs    ,La Petxina   , Extramurs   ,Valencia,València,"SE ALQUILA VIVIENDA con muy buena ubicación junto a Angel Guimerá, muy bien comunicada con EMT y metro a escasos metros, a tan solo veinte minutos andando del Centro, rodeada de todos los servicios en una zona consolidada y con muy buen ambiente familiar, dispone de supermercados, Instituto, inst...",39.470711,-0.3910094
Alquiler de piso en El Mercat,1.000 €/me,    60 m²   1 hab.   3ª planta exterior,   ,    El Mercat     Ciutat Vella    ,El Mercat   , Ciutat Vella   ,Valencia,València,"SE ALQUILA POR MESES. Precioso apartamento a estrenar, completamente equipado y amueblado, con electrodomésticos, menaje de cocina y ropa de hogar, decorado con mucho gusto y estilo. En pleno Centro Histórico, junto a la plaza de la Virgen, calle Caballeros, Mercado Central. Listo para entrar sol...",39.4735345,-0.3789552
Alquiler de piso en La Vega Baixa,600 €/m  ,74 m²   2 hab.   1ª planta exterior,   ,    La Vega Baixa     Algirós    ,La Vega Baixa   , Algirós   ,Valencia,València,"Piso en calle Manuel Candela, TOTALMENTE REFORMADO, 2 habitaciones, 1 baño, cocina, salon comedor, balcon, ventanales de climalit, suelo de parquet, EXTERIOR, MUY LUMINOSO, zona con servicios (supermercados, colegios, centro de salud, jardines, gran variedad de comercios, etc... ) a poca distanci...",39.4765127,-0.3501157
Alquiler de piso en Exposició,900 €/m  ,169 m²   5 hab.   3ª planta exterior,   ,    Exposició     El Pla del Real    ,Exposició   , El Pla del Real   ,Valencia,València,"Casabella alquila vivienda en Exposición. Alquiler de amplia vivienda, 5 habitaciones, 2 baños, la vivienda posee una terraza en el salón comedor con orientación norte y una amplio balcón al patio interior con orientación sur. La vivienda se alquila vacía con electrodomésticos o amueblada con el...",39.47681619999999,-0.3642437
"Alquiler de piso en calle Sierra de Agullent, 16",500 €/m  ,95 m²   3 hab.   3ª planta exterior," Carrer Sierra de Agullent, 16  "," Carrer Sierra de Agullent, 16   Benicalap     Benicalap    ",Benicalap   , Benicalap   ,Valencia,València,"""Estupendo piso de tres habitaciones y un baño completo, completamente amueblado (excepto camas) y con electrodomésticos, en perfecto estado y para entrar a vivir. Es una tercera planta, sin ascensor, con un balcón espacioso. Soleado, con buena ventilación, salón y cocina amplios, y cuarto de lav...",39.4942766,-0.3974266
Alquiler de piso en avenida Francia,1.200 €/me,    125 m²   3 hab.   1ª planta exterior, Avinguda Francia  , Avinguda Francia   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Residencial con piscina zona infantil, gimnasio y sauna. Vivienda amueblada y con electrodomésticos situada en una primera planta con una superficie de 125m2 construidos. Distribuido en comedor salón, balcón, cocina independiente con galería, 3 habitaciones con armarios empotrados y dos baños com...",39.4597712,-0.3492224
Alquiler de piso en Pedro Cabanes,400 €/m  ,62 m²   3 hab.   3ª planta exterior,  Pedro Cabanes  ,  Pedro Cabanes   Torrefiel     Rascanya    ,Torrefiel   , Rascanya   ,Valencia,València,"SIN COMISIÓN Y 1 MES GRATIS! Ponemos en alquiler esta magnífica vivienda, exterior y con balcón ubicada en Pedro Cabanes, zona tranquila con todo tipo de servicios y bien comunicada por transporte público con el resto de la ciudad. Cuenta con una superficie de 62 metros construidos (55 metros úti...",39.4945843,-0.3769946
Alquiler de piso en calle Emili Camps i Gallego,550 €/m  ,105 m²   3 hab.   5ª planta exterior, Carrer Emili Camps i Gallego  , Carrer Emili Camps i Gallego   Ciutat Fallera     Benicalap    ,Ciutat Fallera   , Benicalap   ,Valencia,València,"""ESTUPENDO RESIDENCIAL CON PISCINA, GARAJE, SQUASH, GIMNASIO Y CONSERJE"" en Benicalap, 105 m. de superficie, 3 hab. dobles, 2 baños, propiedad en buen estado, orientación norte, suelo de terrazo, se alquila sin muebles, parkin opcional por 40 euros más. Extras: aacc split, agua, ascensor, balcon,...",39.50031240000001,-0.3948615
Alquiler de piso en Russafa,1.200 €/me,    140 m²   4 hab.   4ª planta exterior,   ,    Russafa     L'Eixample    ,Russafa   , L'Eixample   ,Valencia,València,"Fantástica vivienda en finca rehabilitada integralmente en 2013 de techos altos con talla, reforma a ESTRENAR en el emblemático barrio de Russafa y en zona consolidada con todos los comercios, ocio, restaurantes, farmacias, colegios, comunicada muy bien mediante transporte público. Se distribuye...",39.4612576,-0.3736584
Alquiler de piso en calle de sant vicent màrtir,750 €/m  ,131 m²   4 hab.   1ª planta exterior, Carrer de sant vicent màrtir  , Carrer de sant vicent màrtir   La Raiosa     Jesús    ,La Raiosa   , Jesús   ,Valencia,València,"Se alquila estupendo piso de obra seminueva junto al parque central. Se trata de una primera planta completamente exterior y muy luminosa. Consta de 4 dormitorios con armarios empotrados completamente vestidos de madera, dos baños completos, siendo uno de ellos en suite, amplio salon comedor, coc...",39.4569833,-0.3836977
"Alquiler de piso en calle de romeu de corbera, 17",750 €/m  ,67 m²   2 hab.   4ª planta exterior," Carrer de romeu de corbera, 17  "," Carrer de romeu de corbera, 17   Russafa     L'Eixample    ",Russafa   , L'Eixample   ,Valencia,València,***Estupenda vivienda reformada junto mercado de Ruzafa ***en alquiler. La vivienda se compone de dos dormitorios con armarios empotrados en ambos. Cocina equipada con mucha luz natural. Salon comedor con acceso a balcon terraza donde poder disfrutar del estupendo clima de la ciudad. Baño complet...,39.46087199999999,-0.3725193
Alquiler de dúplex en calle del Torn de l'Hospital,700 €/m  ,80 m²   2 hab.   Bajo interior, Carrer del Torn de l'Hospital  , Carrer del Torn de l'Hospital   El Pilar     Ciutat Vella    ,El Pilar   , Ciutat Vella   ,Valencia,València,"ALQUILER sin muebles. Vivienda situada en el centro de nuestra ciudad en una zona muy tranquila. Es un piso que tiene 80 m2 está situado en un bajo. Planta Baja diáfana con cocina, baño completo con ducha. Planta de arriba dos habitaciones y un aseo. La vivienda dispone de aire acondicionado. Di...",39.4720508,-0.3816646
Alquiler de piso en calle Conde de Montornes,850 €/m  ,90 m²   2 hab.   4ª planta exterior, Carrer Conde de Montornes  , Carrer Conde de Montornes   La Xerea     Ciutat Vella    ,La Xerea   , Ciutat Vella   ,Valencia,València,"Esquisto piso decorado con mucho gusto, espacio acogedor, luminoso y silencioso. Cuarta planta con ascensor con la segunda habitación en la buhardilla, con su baño individual. habitación principal con baño incorporado, cocina y amplio salón en planta baja. Situado en pleno centro de valencia. te...",39.4739578,-0.3712501
Alquiler de piso en calle de Baldoví,1.300 €/me,    171 m²   5 hab.   2ª planta exterior, Carrer de Baldoví  , Carrer de Baldoví   Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Piso en 2ª altura en la calle Baldoví, con salón, cocina independiente con galería, 5 dormitorios, 3 baños, suelos de parquet, calefacción de gas y A/A por Split en 2 estancias. 2 puertas de acceso a la vivienda. El piso se alquila vacío con electrodomésticos.",39.4689054,-0.3786694
"Alquiler de piso en calle de Ximénez de Sandoval, 2",1.200 €/me,    194 m²   7 hab.   Bajo exterior," Carrer de Ximénez de Sandoval, 2  "," Carrer de Ximénez de Sandoval, 2   La Xerea     Ciutat Vella    ",La Xerea   , Ciutat Vella   ,Valencia,València,"Piso bajo exterior muy luminoso, en la MEJOR ZONA DE VALENCIA. Situado frente a Capitanía General y a 5 minutos del Corte Inglés andando. Situada en pleno centro de la ciudad pero con la ventaja de encontrarse en una calle tranquila y muy segura rodeada de zonas verdes. Perfecto para OFICINA o ne...",39.4736074,-0.3690029
Alquiler de piso en calle de Romeu de Corbera,475 €/m  ,50 m²   1 hab.   2ª planta exterior, Carrer de Romeu de Corbera  , Carrer de Romeu de Corbera   Russafa     L'Eixample    ,Russafa   , L'Eixample   ,Valencia,València,"Estupendo apartamento en alquiler, VACIO, de 1 dormitorio ideal para ""singles o parejas"" en pleno de barrio de moda de Ruzafa, con todos los servicios a pie de calle a 1 paso del mercado de Ruzafa y a 10 minutos andando del centro de Valencia. El apartamento tiene unos 50m2 construidos y distribu...",39.4608417,-0.3718973
Alquiler de piso en PRIMADO REIG,550 €/m  ,61 m²   3 hab.   4ª planta exterior,  PRIMADO REIG  ,  PRIMADO REIG   Els Orriols     Rascanya    ,Els Orriols   , Rascanya   ,Valencia,València,"EXPERCASA ZAIDIA dispone en ALQUILER piso de 61m2 distribuidos en: 3 dormitorios (2 dobles), baño. cocina, salón -comedor con aire acondicionado y balcón, la vivienda esta equipada con cristales climalite, ventanas de aluminio blanco, puerta de seguridad, tiene techos altos y esta recién pintada....",39.4895265,-0.370583
Alquiler de piso en Passatge de Ventura Feliu,1.000 €/me,    146 m²   4 hab.   3ª planta exterior,  Passatge de Ventura Feliu  ,  Passatge de Ventura Feliu   Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Amplio piso exterior, son 146 m2 construidos según catastro distribuidos en un amplio hall de entrada rectangular, un salón-comedor con salida a terraza, cuatro habitaciones con armarios, dos baños completos y una cocina office con galería-tendedero. La vivienda tiene calefacción individual por g...",39.4623913,-0.3836585
"Alquiler de piso en plaza de la Legió Espanyola, 13",1.400 €/me,    100 m²   2 hab.   10ª planta exterior," Plaça de la Legió Espanyola, 13  "," Plaça de la Legió Espanyola, 13   Exposició     El Pla del Real    ",Exposició   , El Pla del Real   ,Valencia,València,Actualmente estamos reformando piso de gran lujo a estrenar en una de las mejores zonas de Valencia. Plaza de garaje incluida en precio Se prevé finalización obra en Marzo 2018 Vigilancia 24 horas y excelentes vistas hacia los jardines de Monforte. Abstenerse inmobiliarias e imprescindible a...,39.4777125,-0.3663702
Alquiler de piso en calle d'ernest ferrer,799 €/m  ,120 m²   4 hab., Carrer d'ernest ferrer  , Carrer d'ernest ferrer   Mestalla     El Pla del Real    ,Mestalla   , El Pla del Real   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Mestalla. Tiene una superficie de 120 m2, distribuidos en 4 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Galería en...",39.4719172,-0.3557085
Alquiler de piso en El Carme,1.250 €/me,    130 m²   3 hab.   5ª planta exterior,   ,    El Carme     Ciutat Vella    ,El Carme   , Ciutat Vella   ,Valencia,València,"Encantador Ático en El Carmen Nos encontramos ante una Propiedad de 130 m2, con 17 m2 de terraza, en una 5ta planta con ascensor. Esta vivienda con increíble vista tiene 3 habitaciones: dos dobles y una simple, con armarios empotrados. Un amplio salón-comedor, con salida a una maravillosa terraza...",39.4793514,-0.380721
Alquiler de piso en calle de sant joan de la creu,799 €/m  ,100 m²   3 hab.   1ª planta exterior, Carrer de sant joan de la creu  , Carrer de sant joan de la creu   Morvedre     La Saïdia    ,Morvedre   , La Saïdia   ,Valencia,València,"Se alquila Piso Precioso. Salón comedor, cocina equipada, Galería, 3 habitaciones, 2 baños y 2 terrazas, parcialmente amueblado. Con dos terrazas interiores, una de ellas con una caseta de madera de 2x2m y otra terraza de 2x5m con mucha luz y posibilidades. El piso se encuentra a sólo 5 minutos d...",39.4843423,-0.3734896
Alquiler de dúplex en La Llum,650 €/m  ,94 m²   3 hab.   1ª planta exterior,   ,    La Llum     L'Olivereta    ,La Llum   , L'Olivereta   ,Valencia,València,Precioso dúplex seminuevo de 90 m2 junto al Hospital General. Amueblado y con electrodomésticos. 3 dormitorios (2 dobles y una sencilla). 2 baños completos ( 1 con ducha). Cocina independiente office con galería. Salón con terraza de 13 m2. Gas natural. Suelo de mármol. Calefacción por radiadores...,39.4682425,-0.4131072
Alquiler de piso en El Pla del Remei,1.470 €/me,    174 m²   5 hab.   5ª planta exterior,   ,    El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,Maravilloso piso de 174 m2 vacío en El Pla del Remei. Ubicación inmejorable. 5 habitaciones y 2 baños. Cocina independiente. Salón comedor de 40 m2. Agua caliente con Gas Natural. Armarios. Aire acondicionado por conductos. Suelo de parquet. Paredes lisas. Puertas roble. Ventanas climalit. Puerta...,39.4690375,-0.3689508
Alquiler de piso en calle del doctor lluch,650 €/m  ,60 m²   2 hab.   1ª planta exterior, Carrer del doctor lluch  , Carrer del doctor lluch   El Cabanyal-El Canyamelar     Poblats Marítims    ,El Cabanyal-El Canyamelar   , Poblats Marítims   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de El Cabanyal- El Canyamelar. Tiene una superficie de 60 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de...",39.4688437,-0.3281467
Alquiler de piso en calle del Bisbe Jaume Pérez,700 €/m  ,85 m²   2 hab.   2ª planta exterior, Carrer del Bisbe Jaume Pérez  , Carrer del Bisbe Jaume Pérez   Mont-Olivet     Quatre Carreres    ,Mont-Olivet   , Quatre Carreres   ,Valencia,València,"vivenda reformada en alquiler completamente amueblada consta de dos dormitorios con armarios empotrados, dos baños completos uno en dormitorio principal, cocina totalmente equipada y con galeria, amplio salon/comedor, piso en muy buenas condiciones para entrar a vivir, zona muy tranquila, varios...",39.4584309,-0.3657462
